,cleaned_text,label,label_id
10,فراخوان ثبت نام در اردوی انتخابی رده‌های سنی نوجوانان و جوانان دختر ۲۰۲۲ – فدراسیون والیبال ایران ____________ امور بانوان فدراسیون والیبال فراخوان ثبت نام متقاضیان حضور در اردوی انتخابی رده‌های سنی نوجوانان و جوانان دختر در سال ۲۰۲۲ را صادر کرد. به گزارش روابط عمومی فدراسیون والیبال، با اعلام امور بانوان، در راستای تحقق اهداف فدراسیون والیبال در خصوص توسعه والیبال بانوان و حضور موفق در میادین بین المللی و با توجه به برگزاری مسابقات قهرمانی آسیا در رده‌های سنی نوجوانان زیر ۱۷ سال و جوانان زیر ۱۹ سال در سال ۲۰۲۲، اردوی انتخابی هر یک از رده‌های مذکور برگزار خواهد شد,positive,1
11,سایه اف ای تی اف و تحریم بر روابط بین المللی ایران/عضویت در شانگهای چه منافعی دارد؟ ____________ منصوری با اشاره به این که استفاده از منافع عضویت در این سازمان به ما مربوط است، ادامه داد: این که اعضای پیمان شانگهای پذیرفته‌اند، ایران عضو دایم و رسمی این سازمان باشد، نشان می‌دهد نسبت به ثبات، استقرار و آینده ایران نظر مثبتی دارند و معتقدند ایران می‌تواند در معادلات منطقه‌ای نقش آفرین باشد. وی با اشاره به اینکه برخی چنین تبلیغ می‌کنند که با نزدیکی به شرق، بحران ما حل خواهد شد، افزود: نزدیکی به شرق در جای خود سیاست درستی است، اما باید توجه داشت در سازمان همکاری‌های شانگهای روسیه، حضور دارد که رقیب بزرگ ما در حوزه گاز محسوب می‌شود و این کشورها نیز هیچ گاه منافع ملی خودشان را در رابطه با ما نادیده نمی‌گیرند و این امر هم طبیعی است,positive,1
12,"واکنش صدر به حمله پهپادی گروه عراقی به امارات ____________ صدر تاکید کرد که البته خواستار توقف جنگ در یمن و توقف عادی سازی روابط با دشمن صهیونیست است اما راه آن را خشونت و جنگ نمی‌داند بلکه این اهداف باید با گفت وگو و تفاهم با کشورهای منطقه انجام شود نه با خطر مواجه کردن مقدسات و ملت عراق. به گزارش ایسنا، مقتدی صدر، رهبر جریان صدر عراق با انتشار بیانیه‌ای در واکنش به اقدام یک گروه عراقی ناشناس به نام «الویه وعد الحق» در حمله به امارات گفت: "" بعد از شدت گرفتن خشونت‌ها در عراق توسط برخی گروه‌های مسلح علیه ملت و تشکل‌های سیاسی، برخی قانون شکنان در پی درگیر کردن عراق در جنگ خطرناک منطقه‌ای از راه حمله به یک کشور منطقه به بهانه عادی سازی روابط با اسرائیل یا به بهانه جنگ با یمن برآمده‌اند",positive,1
13,هنرمندان حوزه پته دوزی ناشناخته مانده‌اند ____________ محمدرضا علیزاده، مدیرکل اداره فرهنگ و ارشاد اسلامی استان کرمان، در آیین اختتامیه نخستین جشنواره کالاها و محصولات فرهنگی استان کرمان با محوریت پته، ضمن تبریک قرارگیری در آستانه دهه فجر انقلاب اسلامی بیان کرد: یکی از اتفاقات خوبی که در کشور برگزار شد جشنواره جایزه فیروزه است که ما در دوره هفتم به آن پیوستیم. به گزارش ایسنا آیین اختتامیه نخستین جشنواره کالاها و محصولات فرهنگی استان کرمان با محوریت پته، همزمان با هفتمین دوره کشوری جایزه ملی فیروزه برگزار و در پایان این مراسم از برگزیدگان تقدیر شد,negative,0
14,علاقه و گرایش به دین اسلام در بین نسل جوان در آفریقا رو به افزایش است ____________ به گزارش سرویس بین الملل خبرگزاری حوزه، دکتر محمدو کنه وزیر جدید امور دینی کشور مالی، چند هفته پس از تصدی این پست در حاشیه شرکت در مراسم افتتاح کارگاه تفکر و اندیشه اسلامی که توسط دولت و با همت نهاد‌ها و تشکل‌های اسلامی این کشور و در راس آنها شورای عالی اسلامی مالی، برگزار شد؛ در مصاحبه با خبرنگار افتخاری خبرگزاری حوزه، ضمن اشاره به حضور و تعامل فرق و مذاهب مختلف اسلامی در مالی آن را نشانه بلند مرتبه بودن جامعه اسلامی خواند و از افزایش تمایل و علاقه نسل جدید آفریقایی به گرایش به دین مبین اسلام ابراز خرسندی کرد. کشور مالی واقع در ساحل صحرا در منطقه غرب آفریقا از جمعیتی بالغ بر بیست میلیون نفر برخوردار است که نود و شش درصد آن را مسلمانان اغلب مالکی و شافعی مذهب تشکیل میدهند و تعداد شیعیان نیز در سال‌های اخیر در مالی به شکل قابل توجهی افزایش داشته و منصب‌ها و نقش‌های مهمی در بدنه دولت و نهاد‌های مهم مدنی ایفا میکنند,positive,1
15,سه انفجار شدید در دو مقر ائتلاف سعودی در جنوب یمن ____________ به گزارش گروه بین الملل خبرگزاری فارس، فرودگاه «عتق» در جنوب یمن واقع در استان شبوه، شب گذشته شاهد دو انفجار شدید بود. این فرودگاه از مراکز اصلی ائتلاف سعودی در جنوب یمن به شمار می‌رود و همواره بر سر تسلط بر آن میان نیروهای دولت منصور هادی و شبه نظامیان همسو با امارات درگیری بوده است,negative,0
16,سیاست غیرشفاف و شناور چین در قبال ایران/برندگان و بازندگان حاکمیت طالبان در افغانستان/مدیریت مذاکرات برای کسب امتیازلازم ____________ به گزارش «تابناک» روزنامه‌های امروز شنبه ۳ مهرماه در حالی چاپ و منتشر شد که امیدواری تهران و ریاض به احتمال بهبود روابط، شواهد رکود و رسوب در اقتصاد ایران، درگذشت علی لندی، نوجوان فداکار اهل شهرستان ایذه و ورود محدود فایزر و ماجرا‌های تازه واکسن در صفحات نخست روزنامه‌های امروز برجسته شده است. دکتر سیف الرضا شهابی کارشناس سیاسی طی یادداشتی در شماره امروز همدلی با عنوان برندگان و بازندگان حاکمیت طالبان در افغانستان نوشت: از روزی که طالبان در کابل به قدرت رسیدند و موفق شدند بر سراسر افغانستان تسلط پیدا کنند، یکی از سوالات کلیدی این است که با حاکمیت طالبان بر این کشور کدام یک از کشور‌های خارجی بیشترین بهره را از حکومت طالبان خواهند برد و به عبارتی، پیروزی طالبان به نفع کدام یک از کشور‌ها در همسایگی افغانستان یا کشور‌های منطقه و فرامنطقه است و برندگان و بازندگان ناشی از تغییرات در افغانستان چه کشور هایی هستند؟ تحلیلگران با نگاه‌های خاص و بعضا متفاوت و متضاد به این موضوع پرداختند و از زوایای گوناگون آن را مورد ارزیابی قرار دادند؛ بعضی‌ها بلوک بندی جهانی را نیز در این موضوع دخالت دادند، برای مثال: چین، روسیه و ایران را جزو برندگان برشمردند و در مقابل عده‌ای دیگر این سه کشور را بازنده قلمداد کردند و این تضاد در تحلیل‌ها گاهی اوقات آن قدر گسترده شد که برخی از کارشناسان، اسرائیل را یکی از برندگان معرفی کردند؟! بر خلاف دهه نود میلادی که طالبان بر افغانستان حکومت می‌کردند و سه کشور پاکستان، عربستان و امارات آن را به رسمیت شناخته بودند و رابطه نزدیکی با کابل داشتند، این بار با ورود قطر، کشوری مخالف ریاض و امارات در مراکز تصمیم گیری طالبان، معادله قدرت و نفوذ دستخوش تغییر شد و در معادله جدید، برندگان اصلی سه کشور پاکستان، قطر و ترکیه کشور هم پیمان قطر هستند، زیرا از یک سو، پاکستان محل تولد طالبان است و از ابتدای تولد در دامن «ای اس ای»؛ سازمان اطلاعاتی ارتش پاکستان، پرورش پیدا کرد و بی علت نیست رئیس «ای اس ای» از اولین شخصیت‌های امنیتی خارجی همسایه افغانستان است که به کابل سفر کرد و همواره چه در سال هایی که طالبان در راس قدرت قرار داشتند و چه در سال هایی که حکومت شان ساقط شده بود، از حمایت و راهنمایی‌های پاکستان برخوردار بودند و از دیگر سو، مهم‌ترین قرارگاه دیپلماسی طالبان در دوحه پایتخت قطر قرار دارد و تمام فعالیت‌های دیپلماتیک طالبان در این کشور ثروتمند حوزه خلیج فارس مستقر است,positive,1
17,تایید روند صعودی بازار سرمایه به هفته آینده گره خورد| شاخص هنوز از مقاومت عبور نکرده است ____________ دلایل نوسانت مثبت پایان هفته در روز پایانی هفته معاملاتی گذشته ورود پول هوشمند به بازار مشهود بود و این مساله در نمادهای بزرگ و شاخص ساز کاملا مشهود بود و این مساله تحت تاثیر دو عامل بود؛ نخست اینکه صندوق توسعه ملی از واریز قسط صندوق تثبیت بازار خبر داده بود که می‌تواند حکایت ورود این سرمایه به بازار باشد، مساله‌ای دیگر دستوری بودن بازار را نشان دهد که بعد از اعتراضات فعالان بازار سرمایه و سهامداران دولت برای ایجاد آرامش نسبی و موقتی دستور حمایت موقتی از بازار را صادر می‌کند و این مساله را اساسا از طریق شرکت‌ها بزرگی که تحت نفوذ دولت هستند اتفاق می‌افتد. بازار؛ گروه بورس: وضعیت تحلیل هفتگی معاملات بازار سرمایه نشان می‌دهد که با وجود اینکه معاملات آخرین روز بازار مثبت تمام شده، اما هنوز نمی‌توان با اطمینان درباره آغاز یک روند صعودی سخن گفت، هرچند دولت مصوبه‌ای ۵ ماده‌ای را به وزرای اقتصاد، صنعت و نفت ابلاغ کرده تا به گمان خود مسائلی که در هفته‌های اخیر موجب افت بازار شده بوده‌اند را اصلاح کنند و این مساله منجر به آغاز یک روند مثبت در بازار باشد,negative,0
18,دولت آلمان: تمامی وزارتخانه‌ها از فیسبوک کلاب هاوس و اینستاگرام فاصله بگیرند ____________ دولت آلمان از تمامی وزارتخانه‌های این کشور خواست، به علت نگرانی‌های مربوط به حفظ حریم شخصی، از شبکه اجتماعی فیسبوک، کلاب هاوس، و اینستاگرام خارج شوند. کمیسیونر حفاظت از داده‌های آلمان در این باره گفت: فیسبوک و سه شبکه دیگر نتوانسته‌اند تبعیت خود از قوانین مربوط به حفظ حریم شخصی، که توسط اتحادیه اروپا و آلمان وضع شده است، را ثابت کنند و به همین علت، ادامه فعالیت سازمان‌ها و نهادهای دولتی آلمانی در این شبکه‌های اجتماعی جایز نیست,positive,1
19,شهدای حرم مطهر رضوی جانشان را برای جهاد تبیین فدا کردند ____________ به گزارش خبرنگار مهر، حجت الاسلام والمسلمین رضا نوری روز یک شنبه در مراسم گرامیداشت شهیدان اصلانی و دارایی که در مدرسه علمیه امام صادق ع بجنورد برگزار شد، اظهار داشت: علت عصبانیت دشمنان از روحانیان شهید جهادی حمله تروریستی حرم مطهر رضوی این بود که این شهدا با فتنه دشمن در حاشیه شهر مقابله می‌کردند. حجت الاسلام نوری با بیان اینکه مسلمان و مؤمن دارای اصولی است و هیچ گاه از این اصول تخطی نمی‌کنند، گفت: مؤمن و مسلمان اهل حق است و برای دعوت دیگران در این راه مبارزه و تلاش می‌کند که این خصوصیت از شاخصه‌های مکتب مولای متقیان است,negative,0
20,نشست کبری دولت انگلیس با محوریت اوکراین ____________ به گزارش ایسنا به نقل از خبرگزاری فرانسه، به گفته سخنگوی بوریس جانسون، پس از آنکه نخست وزیر انگلیس خلاصه جدیدترین اطلاعات را از سران اطلاعاتی کشورش شنید، اقامت برنامه ریزی شده خود در کامبریا را لغو کرده و به دفتر نخست وزیری بازگشت تا امروز سه شنبه میزبان نشست کبرا باشد. سخنگوی جانسون همچنین اعلام کرد که رهبران انگلیس و آمریکا در تماس اخیر خود، یکدیگر را در جریان گفت وگوهای اخیر با دیگر رهبران دنیا قرار داده و توافق کردند که پنجره‌ای حیاتی برای دیپلماسی و برای عقب نشینی روسیه از تهدیداتش علیه اوکراین وجود دارد,negative,0
21,داده کاوی در حوزه سلامت جدی گرفته نمی‌شود ____________ فرج حسینیان روز دوشنبه در وبینار تخصصی «اهمیت داده‌ها در حوزه سلامت؛ چالش‌ها و چشم اندازها» بابیان این که در حوزه سلامت موضوع داده کاوی داری اهمیت است گفت: در حوزه سلامت یکی از مهم‌ترین بخش هایی که وجود دارد اطلاعاتی است که از همه درمان‌ها و پژوهش‌ها خارج و ثبت می‌شود، که متاسفانه این دیتاها حداقل در کشور ما خیلی جدی گرفته نمی‌شود. به گزارش روز دوشنبه جهاددانشگاهی علوم پزشکی شهید بهشتی؛ این عضو هیات علمی دانشگاه آزاد تهران در ادامه به موضوعاتی همچون تولید سیستم‌های خبره در پزشکی و مشکلات آن، استفاده از یادگیری ماشین در راستای تقلیل این مشکل، یادگیری در شبکه عصبی مصنوعی، اهمیت رسیدگی به خصیصه‌های پیشگو و تاثیر آن‌ها در تصمیم گیری، کیفیت داده‌های پزشکی در یادگیری عمیق یافته‌ها، مدل هایی بر پایه شبکه عصبی عمیق، داده‌های پرت، نویز، تولید مدل دارای پیچیدگی کمتر در راستای نادیده گرفتن نویز پرداخت,negative,0
22,خرید بیش از ۷۲۰۰ تن گندم و جو بذری در استان قزوین ____________ به گزارش خبرنگار مهر مجید اسماعیلی در جلسه کمیته فنی بذر استان قزوین که در سالن باغستان این سازمان برگزار شد، گفت: از آغاز فصل برداشت گندم و جو تاکنون، ۷ هزار و ۲۵۳ تن گندم و جو بذری از تولید کنندگان بذر خریداری شده و این روند همچنان ادامه دارد. اسماعیلی با اشاره به اینکه تاکنون حدود ۶۲ درصد از برنامه ابلاغی تامین بذر استان در سال جاری محقق شده است، گفت: با توجه به شرایط خشکسالی و کاهش تولید گندم و جو بویژه در مزارع دیم، برنامه ریزی‌های لازم برای تهیه و تامین بذر مورد نیاز کشاورزان در سال زراعی آینده در حال انجام است و لازم است تمام اعضای کمیته فنی بذر استان بویژه پیمانکاران تولید کننده بذر برای تحقق کامل برنامه تامین بذر استان اهتمام ویژه داشته باشند,negative,0
23,ماجرای بمب گذاری قلابی در نزدیکی اجلاس گروه ۷ چه بود؟ ____________ به گزارش برنا، ماموران پلیس به همراه تیم خنثی کننده بمب حوالی ساعت ۳ و ۱۵ دقیقه صبح امروز راهی یکی از هتل‌های شهر فالموث می‌شوند که درباره شناسایی یک بسته مشکوک گزارش هایی منتقل شده بود. بر اساس بیانیه پلیس یک مرد ۲۰ ساله از اهالی شهر فالموث به اتهام جاسازی بمب قلابی دستگیر و به بازداشتگاه منتقل شد,negative,0
24,رییس کمیته فنی شیرجه: رسیدن به شرایط ایده آل سخت است/ امیدوار به کسب سهمیه المپیک هستیم ____________ رییس کمیته فنی شیرجه در گفت و گو با ایسنا در خصوص شرایط تمرینات تیم ملی اظهار کرد: بعد از شیوع کرونا ملی پوشان ما دیگر تمرین داخل آب نداشتند و تمریناتشان در سالن بدنسازی بود. رییس کمیته فنی شیرجه در ادامه در خصوص شانس کسب سهمیه المپیک گفت: مجتبی ولی پور و حمید کریمی برای شانس کسب سهمیه المپیک تمرین می‌کنند و به شدت پیگیر کسب سهمیه هستند,negative,0
25,پویش مردمی بذرکاری در ۲۵ هکتار از عرصه‌های منابع طبیعی قهاوند آغاز شد ____________ «شاهرخ شجاعی فر» روز یکشنبه در گفت و گو با خبرنگار ایرنا افزود: این پویش مردمی با شعار «هر ایرانی یک نهال» در روستای «آقدره» بخش قهاوند، با حضور و مشارکت مردم آغاز شده است. به گزارش ایرنا، پویش ایران سرسبز با شعار هر ایرانی یک نهال از دهم آذر سالجاری همزمان با سراسر کشور با حضور ریاست سازمان جنگل‌ها، مراتع و آبخیزداری کشور از جنگل «گیان» نهاوند آغاز شد و تا هفته منابع طبیعی ادامه دارد,positive,1
26,"خبر خوش یارانه نقدی ۵۰۰ تومانی ____________ واریز این مرحله از یارانه نقدی، مانند سنوات گذشته به ازای هر نفر ۴۵۵,۰۰۰ ریال به همراه افزایش حداقل مستمری خانوارهای مددجویان تحت حمایت کمیته امداد امام خمینی ره و سازمان بهزیستی کل کشور به حساب سرپرستان محترم خانوارها واریز شد. مدتی است که حذف ارز ۴۲۰۰ تومانی مطرح شده و احتمالا در سال جدید خبری از ارز ترجیحی نباشد؛ در این صورت تکلیف یارانه‌ها چه خواهد شد؟ درگفت وگوی با احسان ارکانی، عضو کمیسیون برنامه و بودجه مجلس به این مورد پرداخته‌ایم",positive,1
27,پیام تسلیت رهبر معظم انقلاب به آیت الله شب زنده دار ____________ به گزارش برنا از دفتر حفظ و نشر آثار حضرت آیت الله العظمی خامنه‌ای، حضرت آیت الله خامنه‌ای رهبر معظم انقلاب اسلامی درگذشت والده مکرمه حجت الاسلام و المسلمین آقای حاج شیخ محمدمهدی شب زنده دار را تسلیت گفتند. درگذشت والده مکرمه صالحه آن جناب را به شما و دیگر بازماندگان تسلیت عرض می‌کنم و رحمت و مغفرت الهی را برای ایشان مسالت می‌کنم,negative,0
28,سه هزار و ۲۰۰ درخواست تابعیت فرزندان با پدر خارجی در قزوین ثبت شده است ____________ به گزارش ایرنا، قانون اعطای تابعیت به فرزندان حاصل از ازدواج زنان ایرانی با مردان غیر ایرانی در مجلس شورای اسلامی اردیبهشت ماه ۹۸ تصویب و بعد از دو سه بار رفت و برگشت، نهایتا در اوایل مهر آن سال از طرف شورای نگهبان تایید شد و ۱۵ مهر، رئیس جمهوری آن را به دستگاه‌های اجرایی ابلاغ کرد. تا امروز مستقیما سه هزار و ۲۰۰ درخواست تابعیت جمهوری اسلامی توسط فرزندان حاصل از ازدواج زنان ایرانی با مردان خارجی در استان ثبت شده که پرونده‌های این افراد در حال طی فرآیندهای قانونی و استعلام از مراجع ذیربط بر اساس قانون مربوط است,positive,1
29,آمریکا تحریم هایی جدیدی علیه ایران وضع کرد ____________ وزارت خزانه داری آمریکا در شرایطی که تنها چند روز به پایان ریاست جمهوری «دونالد ترامپ» باقی مانده اسامی ۲ فرد و ۱۶ نهاد ایرانی را به فهرست «اتباع و افراد خاص تحریم شده» sdn این وزارتخانه اضافه کرد. شرکت تولید نیروی برق آبادان، آستان قدس رضوی، موسسه دانش بنیان برکت، شرکت کمباین سازی ایران، شرکت گسترش الکترونیک مبین ایران، موسسه حسابرسی مفید راهبر، شرکت مسکن و عمران قدس رضوی، شرکت معادن قدس رضوی، شرکت کاشی سنتی قدس رضوی، شرکت کارگزاری بورس اوراق بهادار رضوی، سازمان اقتصادی رضوی، شرکت فناوری اطلاعات و ارتباطات رضوی، شرکت توسعه نفت و گاز رضوی، شرکت مدیریت زنجیره تامین رضوی، شرکت شهاب خودرو و شرکت توسعه حفاری تدبیرنهادهایی هستند که در فهرست تحریم‌ها قرار گرفته‌اند,positive,1
30,فارس من| غیر فعال کردن تعرفه آزاد اینترنت با یک کد دستوری | خبرگزاری فارس ____________ شرکت ارتباطات سیار ایران همراه اول درباره موضوع مصالبات مردمی بخش فارس من با عنوان «چرا نمی‌توان مصرف اینترنت با تعرفه آزاد را در همراه اول غیرفعال کرد؟» اعلام کرد: مصرف اینترنت با تعرفه آزاد در همراه اول را می‌توان غیرفعال کرد به طوری که باید کد دستوری «* ۱۰۰ *۱۱۳ » توسط مشتریان شماره گیری شود,negative,0
31,آماده سازی فرودگاه گرگان جهت انجام پروازهای حج تمتع/ نخستین گروه ۷ تیر اعزام می‌شوند ____________ «حنظله گرزین» به خبرنگار خبرگزاری شبستان در گرگان گفت: به منظور انجام پروازهای حج تمتع ۱۴۰۱ و ارائه خدمات هرچه بهتر به زائران خانه خدا، سالن ترمینال خارجی فرودگاه گرگان در حال آماده سازی است. وی ادامه داد: نخستین اعزام زائران گلستانی با شرکت هواپیمایی جمهوری اسلامی ایران از طریق فرودگاه بین المللی شهدای گرگان به سرزمین وحی از ۷ تیر آغاز می‌شود و به مدت سه روز تا ۹ تیر ادامه دارد,negative,0
